id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
784419	000000000000000000057e1b2a15ae665fd4d36401473f2b3408e069784e2ca1	2023-04-08 00:10:19	2023-04-07 23:24:24	1285307	902581	3993050	800210944	2fb24000	101111101100100100000000000000	01d36a307d8fdc99a25677824c9b2ef3b1cd152efc02c7d522523b670ef7d1e2	1657458705	386261170	47887764338536	000000000000000000000000000000000000000044eb855a8730bfca30887b90	0323f80b04ebb030642f466f756e6472792055534120506f6f6c202364726f70676f6c642f062fef563305000000000000	1804	1534	6727	7104	484465743535	135320976	485090743535	135495552	26474063	7394.7354	20602.223	5.7546	6631.829	1.8525	5477.1030779522	625000000	174575	651474063	181969.7344	Foundry USA Pool
784420	00000000000000000003ee81c89560c98a1716c3bbc062fa938014ea6411d97c	2023-04-08 00:13:41	2023-04-07 23:36:50	1160698	944169	3993205	1073733632	3fffe000	111111111111111110000000000000	8f2945cea069d43d52ae4991762fbbb1b452f8add9dd40c78d753b62cb75dc62	921481970	386261170	47887764338536	000000000000000000000000000000000000000044ebb0e86fed5fef10ef4944	0324f80b122f5669614254432f5472757374706f6f6c2f2cfabe6d6d6aed38277adf7775b95b605a68072fe0262dd3e86d6f919ed1528f3a8c1976b61000000000000000107c148f130e5f604ec557135b7788000000000000	900	697	7012	2657	116798136172	32624056	117423136172	32798630	16301872	4553.439	14049.002	3.9242	4083.6833	1.1407	733.97798208264	625000000	174575	641301872	179128.4375	ViaBTC
784421	000000000000000000018a6e4ccfc68b1289b78e92ea9ac0ee7ef89aedacc421	2023-04-08 00:20:40	2023-04-07 23:48:39	2087513	635232	3993209	541065216	20400000	100000010000000000000000000000	8c3355818d428c7c57b8d44246d9a970ce5fab3fcffc1ee7211e68d930e7152d	2936629606	386261170	47887764338536	000000000000000000000000000000000000000044ebdc7658aa0013f15616f8	0325f80b192f5669614254432f4d696e656420627920707275746b696e2f2cfabe6d6d1cc12694cbd15665f1af5b53901f617bbd7eaf8dea5cd036b821445156453e7d1000000000000000108a1475174c0670d75a7b8180ac09010000000000	2243	2024	5749	6677	298250448151	83307312	298875448151	83481888	13856195	3870.3125	6638.7603	1.8544	3471.0525	0.9695	3804.1657211413	625000000	174575	638856195	178445.3125	ViaBTC
784422	00000000000000000000182abbcc465697396d41b1e95c1e36d6d9bb9c8b4127	2023-04-08 00:20:56	2023-04-07 23:54:16	3750089	80990	3993059	1073733632	3fffe000	111111111111111110000000000000	6817e22515d5d0182e9405fb20eacb038a1b21b617fea0acb83e18e3faeb972f	566220759	386261170	47887764338536	000000000000000000000000000000000000000044ec08044166a038d1bce4ac	0326f80b0462b330642f466f756e6472792055534120506f6f6c202364726f70676f6c642f169acc1e00000236031e0000	500	497	653	1003	1759015497	491328.2188	2384015497	665903.1875	5209504	1455.1187	1389.2781	0.388	1304.9928	0.3645	3579.84446732	625000000	174575	630209504	176030.125	Foundry USA Pool
784423	00000000000000000005b005fa09fa289a539157491ff5f2b764dbfb5e018dac	2023-04-08 00:24:33	2023-04-07 23:54:52	3473107	173309	3993034	536887296	20004000	100000000000000100000000000000	05965c0db602cdb1346c7aa6fe6dde87c39a569a863324697532537f1e742087	130489820	386261170	47887764338536	000000000000000000000000000000000000000044ec33922a23405db223b260	0327f80b11627463636f6d38383775002602d10cd0bcfabe6d6db371159e4a35907f4fd656e2027cc717768916f8e66ecd5c1c53797ce5ea866104000000000000000000a63382461b0000000000	930	849	1549	2163	139911601435	39080108	140536601435	39254684	7875548	2199.7981	2267.8274	0.6335	1973.0175	0.5511	897.43887813637	625000000	174575	632875548	176774.7969	Unknown
784424	000000000000000000030fc2fd402b75bb22442b10f42655b622e1170f262674	2023-04-08 00:26:36	2023-04-08 00:10:19	3529035	154784	3993387	820887552	30edc000	110000111011011100000000000000	9254400fb8da2dacc8c6c54f34a2e780b1463e2e27153954af06b5b0215316d9	3274515977	386261170	47887764338536	000000000000000000000000000000000000000044ec5f2012dfe082928a8014	0328f80b1b4d696e656420627920416e74506f6f6c39373060000302d1c8d859fabe6d6d6149482656ec56043f7ddf1438085523db6cd91a4a00abcd79cd2e7d94322103020000000000000000007eda6c00000000000000	884	815	1262	2008	67210259324	18773170	67835259324	18947744	6931144	1936.0072	1964.2504	0.5486	1736.285	0.4849	1923.7598808601	625000000	174575	631931144	176511	AntPool
784425	000000000000000000035e5959298e715af7940c00002e0072426455de8e209f	2023-04-08 00:37:19	2023-04-08 00:13:41	2388046	534889	3992713	536936448	20010000	100000000000010000000000000000	f5ea036778920671f4b3b8a691ac8e05383977925e9bd3767f36aae335ea2398	1141182967	386261170	47887764338536	000000000000000000000000000000000000000044ec8aadfb9c80a772f14dc8	0329f80b043fb730642f466f756e6472792055534120506f6f6c202364726f70676f6c642f1380b42df938130000000000	2089	1828	4417	7075	383470305965	107110928	384095305965	107285504	14053718	3925.4846	5885.7603	1.6441	3520.7942	0.9835	10230.272983392	625000000	174575	639053718	178500.4844	Foundry USA Pool
784426	00000000000000000000d379110df91673142f106237113ce10f4cf609450488	2023-04-08 00:38:30	2023-04-08 00:20:40	2404950	529317	3992901	551550976	20e00000	100000111000000000000000000000	7c8adf289ccc17a3a72ac296154b759dadbd1f4e7480cba69068a684a17efe4e	307014721	386261170	47887764338536	000000000000000000000000000000000000000044ecb63be45920cc53581b7c	032af80b0487b730642f466f756e6472792055534120506f6f6c202364726f70676f6c642f145969ae0bfb000000000000	1219	1121	6797	2697	49017877113	13691673	49642877113	13866248	5929191	1656.1416	2465.7158	0.6888	1485.3348	0.4148	1652.3869926547	625000000	174575	630929191	176231.1406	Foundry USA Pool
784427	00000000000000000000739d1027f8fa7916b6ce475adeeb2b47c2489ae4963d	2023-04-08 00:53:17	2023-04-08 00:20:56	1921165	690620	3993025	536903684	20008004	100000000000001000000000000100	e8323e1ac8ed83ae066aa7e82f731c48a4a253b3a96f0c81ccc875e10d3b542a	259719617	386261170	47887764338536	000000000000000000000000000000000000000044ece1c9cd15c0f133bee930	032bf80b04feba30642f53424943727970746f2e636f6d20506f6f6c2f03210b13a8bf7f0000000000	2544	2270	6052	8378	558619265298	156033536	559244265298	156208112	16247441	4538.2354	8458.35	2.3625	4070.0237	1.1368	7593.5709336833	625000000	174575	641247441	179113.2344	SBICrypto
784428	0000000000000000000543c3325627e18ba38f84c88e404ce7da0d10d58aa981	2023-04-08 00:54:39	2023-04-08 00:24:33	2359480	544439	3992797	652148736	26df0000	100110110111110000000000000000	13a89126510bbe7296b59c1ed0b7e31e1e2827ee56cea1be302076b6cd9a44a1	774156669	386261170	47887764338536	000000000000000000000000000000000000000044ed0d57b5d261161425b6e4	032cf80b0410bb30642f466f756e6472792055534120506f6f6c202364726f70676f6c642f141615b60000000000000000	3053	2999	6356	4574	4135600741	1155156	4760600741	1329731	4425111	1236.022	1875.6964	0.524	1108.5734	0.3098	1059.8898902932	625000000	174575	629425111	175811.0156	Foundry USA Pool
